model,production year,mileage,engine capacity,price,currency,city,region
Opel Corsa D,2011,83 470 km,1 200 cm3,,,Myœlenice,Ma³opolskie
Opel Corsa D,2011,75 000 km,1 200 cm3,,,Stare Kurowo,Lubuskie
Opel Corsa D,2009,136 300 km,1 200 cm3,,,D¹browa Górnicza,Œl¹skie
Opel Corsa D,2011,97 963 km,1 229 cm3,,,Kraków,Ma³opolskie
Opel Corsa D,2011,113 000 km,1 400 cm3,,,Gostyñ,Wielkopolskie
Opel Corsa D,2009,99 000 km,1 299 cm3,,,Œwiebodzin,Lubuskie
Opel Corsa D,2009,119 000 km,1 229 cm3,,,P³ock,Mazowieckie
Opel Corsa D,2013,124 000 km,998 cm3,,,Rybnik,Œl¹skie
Opel Corsa D,2009,133 500 km,1 229 cm3,,,O¿arów Mazowiecki,Mazowieckie
Opel Corsa D,2014,137 000 km,1 229 cm3,,,Grodzisk Mazowiecki,Mazowieckie
Opel Corsa D,2010,93 000 km,1 200 cm3,,,Lipno,Kujawsko-pomorskie
Opel Corsa D,2012,130 800 km,1 398 cm3,,,Bogatynia,Dolnoœl¹skie
Opel Corsa D,2010,137 543 km,1 229 cm3,,,Goleniów,Zachodniopomorskie
Opel Corsa D,2009,93 000 km,1 229 cm3,,,Góra Kalwaria,Mazowieckie
Opel Corsa D,2009,121 000 km,1 200 cm3,,,Wola Radziszowska,Ma³opolskie
Opel Corsa D,2009,148 000 km,998 cm3,,,Wroc³aw,Dolnoœl¹skie
Opel Corsa D,2011,146 147 km,1 400 cm3,,,Sieradz,£ódzkie
Opel Corsa D,2010,123 000 km,998 cm3,,,Olsztyn,Warmiñsko-mazurskie
Opel Corsa D,2010,80 591 km,1 200 cm3,,,Cieszyn,Œl¹skie
Opel Corsa D,2009,109 409 km,1 229 cm3,,,Krotoszyn,Wielkopolskie
Opel Corsa D,2014,78 630 km,998 cm3,,,E³k,Warmiñsko-mazurskie
Opel Corsa D,2010,126 000 km,1 400 cm3,,,Zduñska Wola,£ódzkie
Opel Corsa D,2009,129 000 km,1 200 cm3,,,Rudawa,Ma³opolskie
Opel Corsa D,2010,105 000 km,1 200 cm3,,,Paczków,Opolskie
Opel Corsa D,2009,102 000 km,1 200 cm3,,,Bodzentyn,Œwiêtokrzyskie
Opel Corsa D,2010,111 800 km,1 200 cm3,,,BieŸdziedza,Podkarpackie
Opel Corsa D,2011,113 000 km,1 200 cm3,,,Porêba,Œl¹skie
Opel Corsa D,2009,147 000 km,1 229 cm3,,,Œwiebodzin,Lubuskie
Opel Corsa D,2010,132 000 km,1 400 cm3,,,Zamoœæ,Lubelskie
Opel Corsa D,2010,140 000 km,1 229 cm3,,,Moszczenica,£ódzkie
Opel Corsa D,2010,96 000 km,1 400 cm3,,,Rostarzewo,Wielkopolskie
Opel Corsa D,2010,88 000 km,1 229 cm3,,,Gliwice,Œl¹skie
Opel Corsa D,2012,119 514 km,1 200 cm3,,,Trzemeszno,Wielkopolskie
Opel Corsa D,2010,134 000 km,1 400 cm3,,,Szczucin,Ma³opolskie
Opel Corsa D,2009,85 000 km,1 229 cm3,,,Zwoleñ,Mazowieckie
Opel Corsa D,2010,109 000 km,1 228 cm3,,,Bielsko-Bia³a,Œl¹skie
Opel Corsa D,2009,120 128 km,1 364 cm3,,,Olsztyn,Warmiñsko-mazurskie
Opel Corsa D,2010,95 000 km,1 200 cm3,,,Skoczów,Œl¹skie
Opel Corsa D,2009,144 091 km,1 229 cm3,,,Wo³omin,Mazowieckie
Opel Corsa D,2010,89 000 km,1 200 cm3,,,Mogilno,Kujawsko-pomorskie
Opel Corsa D,2012,115 000 km,1 200 cm3,,,Jaœkowice,Ma³opolskie
Opel Corsa D,2012,142 432 km,1 224 cm3,,,Góra Kalwaria,Mazowieckie
Opel Corsa D,2009,146 800 km,998 cm3,,,Wa³brzych,Dolnoœl¹skie
Opel Corsa D,2010,76 500 km,1 229 cm3,,,Kamienna Góra,Dolnoœl¹skie
Opel Corsa D,2010,125 270 km,1 229 cm3,,,Kotlin,Wielkopolskie
Opel Corsa D,2009,114 000 km,1 229 cm3,,,Gryfów Œl¹ski,Dolnoœl¹skie
Opel Corsa D,2009,119 943 km,1 200 cm3,,,Piaseczno,Mazowieckie
Opel Corsa D,2011,99 000 km,1 229 cm3,,,Mielec,Podkarpackie
Opel Corsa D,2010,102 921 km,1 400 cm3,,,Piaseczno,Mazowieckie
Opel Corsa D,2011,104 000 km,1 229 cm3,,,Kutno,£ódzkie
Opel Corsa D,2009,100 700 km,1 229 cm3,,,Goleniów,Zachodniopomorskie
Opel Corsa D,2010,139 525 km,1 200 cm3,,,Plewno,Kujawsko-pomorskie
Opel Corsa D,2012,135 000 km,1 200 cm3,,,Brzozów,Podkarpackie
Opel Corsa D,2009,112 000 km,1 200 cm3,,,Mogilno,Kujawsko-pomorskie
Opel Corsa D,2010,138 000 km,1 398 cm3,,,Przysucha,Mazowieckie
Opel Corsa D,2009,109 000 km,998 cm3,,,Jaros³aw,Podkarpackie
Opel Corsa D,2011,86 000 km,1 390 cm3,,,Miêdzyrzecz,Lubuskie
Opel Corsa D,2009,132 000 km,1 229 cm3,,,Sieradz,£ódzkie
Opel Corsa D,2010,115 000 km,1 229 cm3,,,Kroœniewice,£ódzkie
Opel Corsa D,2009,101 000 km,1 200 cm3,,,Be³chatów,£ódzkie
Opel Corsa D,2014,90 000 km,1 398 cm3,,,Krobia,Wielkopolskie
Opel Corsa D,2011,119 699 km,1 400 cm3,,,Chojnice,Pomorskie
Opel Corsa D,2009,135 300 km,1 229 cm3,,,Chmielów,Podkarpackie
Opel Corsa D,2012,122 670 km,1 400 cm3,,,Lubliniec,Œl¹skie
Opel Corsa D,2010,121 300 km,1 229 cm3,,,Toruñ,Kujawsko-pomorskie
Opel Corsa D,2011,131 000 km,1 200 cm3,,,P³oñsk,Mazowieckie
Opel Corsa D,2012,104 000 km,1 398 cm3,,,Wa³brzych,Dolnoœl¹skie
Opel Corsa D,2011,114 324 km,1 400 cm3,,,Czêstochowa,Œl¹skie
Opel Corsa D,2009,118 000 km,1 200 cm3,,,Ostrów Mazowiecka,Mazowieckie
Opel Corsa D,2010,104 000 km,1 400 cm3,,,Nowy Tomyœl,Wielkopolskie
Opel Corsa D,2010,128 000 km,1 200 cm3,,,Maków Mazowiecki,Mazowieckie
Opel Corsa D,2010,142 000 km,1 398 cm3,,,Kraków,Ma³opolskie
Opel Corsa D,2011,105 200 km,1 228 cm3,,,Brzozów,Podkarpackie
Opel Corsa D,2011,98 683 km,1 400 cm3,,,Orchowo,Wielkopolskie
Opel Corsa D,2011,99 340 km,1 229 cm3,,,Dobrzykowice,Dolnoœl¹skie
Opel Corsa D,2009,123 478 km,1 364 cm3,,,Ocice,Dolnoœl¹skie
Opel Corsa D,2009,100 000 km,1 200 cm3,,,Raków,Œwiêtokrzyskie
Opel Corsa D,2009,139 000 km,1 000 cm3,,,Olsztyn,Warmiñsko-mazurskie
Opel Corsa D,2010,144 077 km,1 389 cm3,,,Mor¹g,Warmiñsko-mazurskie
Opel Corsa D,2009,150 000 km,1 200 cm3,,,Porêba,Œl¹skie
Opel Corsa D,2009,139 000 km,1 200 cm3,,,Mrocza,Kujawsko-pomorskie
Opel Corsa D,2009,142 300 km,1 200 cm3,,,Strzegom,Dolnoœl¹skie
Opel Corsa D,2013,85 500 km,1 200 cm3,,,Lubliniec,Œl¹skie
Opel Corsa D,2011,106 000 km,1 200 cm3,,,Zawiercie,Œl¹skie
Opel Corsa D,2009,75 500 km,1 229 cm3,,,Gdynia,Pomorskie
Opel Corsa D,2010,143 523 km,1 200 cm3,,,¯nin,Kujawsko-pomorskie
Opel Corsa D,2011,118 000 km,1 398 cm3,,,Bielsko-Bia³a,Œl¹skie
Opel Corsa D,2012,117 000 km,1 229 cm3,,,Kunice,Dolnoœl¹skie
Opel Corsa D,2011,115 000 km,1 200 cm3,,,£uków,Lubelskie
Opel Corsa D,2009,142 000 km,998 cm3,,,Goleszów,Œl¹skie
Opel Corsa D,2009,118 200 km,Benzyna,,,Legnica,Dolnoœl¹skie
Opel Corsa D,126 342 km,1 229 cm3,Benzyna,,,Wronki,Wielkopolskie
Opel Corsa D,119 000 km,1 400 cm3,Benzyna,,,¯ory,Œl¹skie
Opel Corsa D,2009,135 000 km,1 229 cm3,,,¯ory,Œl¹skie
Opel Corsa D,2009,142 500 km,1 000 cm3,,,Grudzi¹dz,Kujawsko-pomorskie
Opel Corsa D,2011,82 000 km,1 200 cm3,,,Przyszowice,Œl¹skie
Opel Corsa D,2009,127 000 km,1 229 cm3,,,K³obuck,Œl¹skie
Opel Corsa D,2012,81 200 km,1 229 cm3,,,Konin,Wielkopolskie
Opel Corsa D,2012,116 000 km,1 200 cm3,,,Lipno,Kujawsko-pomorskie
Opel Corsa D,2011,98 496 km,Benzyna,,,Rostarzewo,Wielkopolskie
Opel Corsa D,143 145 km,1 398 cm3,Benzyna,,,Zagórze,Ma³opolskie
Opel Corsa D,150 000 km,1 000 cm3,Benzyna,,,Wa³brzych,Dolnoœl¹skie
Opel Corsa D,79 000 km,1 229 cm3,Benzyna,,,Chrzanów,Ma³opolskie
Opel Corsa D,131 900 km,1 229 cm3,Benzyna,,,Paczków,Opolskie
Opel Corsa D,150 000 km,1 200 cm3,Benzyna,,,Rzeszów,Podkarpackie
Opel Corsa D,135 000 km,1 398 cm3,Benzyna,,,Wyszków,Mazowieckie
Opel Corsa D,82 128 km,1 400 cm3,Benzyna,,,Poznañ,Wielkopolskie
Opel Corsa D,111 502 km,1 299 cm3,Benzyna,,,Zagórze,Ma³opolskie
Opel Corsa D,125 000 km,1 200 cm3,Benzyna,,,Gryfów Œl¹ski,Dolnoœl¹skie
Opel Corsa D,105 000 km,1 200 cm3,Benzyna,,,Zamoœæ,Lubelskie
Opel Corsa D,91 000 km,1 229 cm3,Benzyna,,,Cieszyn,Œl¹skie
Opel Corsa D,115 000 km,1 200 cm3,Benzyna,,,Witaszyce,Wielkopolskie
Opel Corsa D,115 000 km,1 229 cm3,Benzyna,,,Kraków,Ma³opolskie
Opel Corsa D,116 000 km,1 398 cm3,Benzyna,,,Kunice,Dolnoœl¹skie
Opel Corsa E,142 000 km,1 200 cm3,Benzyna,,,¯nin,Kujawsko-pomorskie
Opel Corsa D,108 700 km,1 229 cm3,Benzyna,,,Mucharz,Ma³opolskie
Opel Corsa D,114 680 km,1 400 cm3,Benzyna,,,P³ock,Mazowieckie
Opel Corsa D,122 000 km,1 229 cm3,Benzyna,,,Aleksandrów £ódzki,£ódzkie
Opel Corsa D,140 000 km,1 400 cm3,Benzyna,,,Borowe,Œl¹skie
Opel Corsa D,135 614 km,1 200 cm3,Benzyna,,,Nowy S¹cz,Ma³opolskie
Opel Corsa D,125 031 km,998 cm3,Benzyna,,,Bytom,Œl¹skie
Opel Corsa D,143 000 km,1 240 cm3,Benzyna,,,Toruñ,Kujawsko-pomorskie
Opel Corsa D,143 000 km,1 229 cm3,Benzyna,,,Wodzis³aw Œl¹ski,Œl¹skie
Opel Corsa D,108 000 km,1 229 cm3,Benzyna,,,Warszawa,Mazowieckie
Opel Corsa D,2009,103 000 km,1 398 cm3,,,K³obuck,Œl¹skie
Opel Corsa D,2011,135 000 km,1 200 cm3,,,Czêstochowa,Œl¹skie
Opel Corsa D,2010,93 000 km,1 229 cm3,,,¯ywiec,Œl¹skie
Opel Corsa D,2009,120 000 km,1 200 cm3,,,Legnica,Dolnoœl¹skie
Opel Corsa D,2009,146 270 km,1 229 cm3,,,Proszowice,Ma³opolskie
Opel Corsa D,2011,129 000 km,1 200 cm3,,,Mogilno,Kujawsko-pomorskie
Opel Corsa D,2012,130 790 km,1 229 cm3,,,Mys³owice,Œl¹skie
Opel Corsa D,2010,101 000 km,1 400 cm3,,,W¹growiec,Wielkopolskie
Opel Corsa E,2016,76 000 km,1 200 cm3,,,Bielsko-Bia³a,Œl¹skie
Opel Corsa D,2010,132 000 km,1 200 cm3,,,Chêciny,Œwiêtokrzyskie
Opel Corsa D,2011,110 000 km,1 200 cm3,,,Proszowice,Ma³opolskie
Opel Corsa D,2012,142 000 km,1 200 cm3,,,Skêpe,Kujawsko-pomorskie
Opel Corsa D,2009,80 623 km,1 200 cm3,,,Nidzica,Warmiñsko-mazurskie
Opel Corsa D,2010,107 022 km,1 229 cm3,,,Bielany Wroc³awskie,Dolnoœl¹skie
Opel Corsa D,2009,147 000 km,1 200 cm3,,,Piaseczno,Mazowieckie
Opel Corsa D,2011,114 321 km,1 229 cm3,,,Olsztyn,Warmiñsko-mazurskie
Opel Corsa D,2009,141 000 km,1 364 cm3,,,Radom,Mazowieckie
Opel Corsa D,2011,131 814 km,1 200 cm3,,,Brzesko,Ma³opolskie
Opel Corsa D,2010,85 617 km,1 400 cm3,,,Nowy Konik,Mazowieckie
Opel Corsa D,2009,142 000 km,1 229 cm3,,,Cieszyn,Œl¹skie
Opel Corsa D,2010,141 000 km,1 400 cm3,,,Chorzów,Œl¹skie
Opel Corsa D,2010,95 000 km,1 229 cm3,,,Elbl¹g,Warmiñsko-mazurskie
Opel Corsa D,2010,135 000 km,1 229 cm3,,,£uków,Lubelskie
Opel Corsa D,2010,138 000 km,1 229 cm3,,,¯nin,Kujawsko-pomorskie
Opel Corsa D,2010,132 410 km,1 400 cm3,,,Pi³a,Wielkopolskie
Opel Corsa D,2009,139 025 km,1 200 cm3,,,Orchowo,Wielkopolskie
Opel Corsa D,2013,133 500 km,1 199 cm3,,,Kraków,Ma³opolskie
Opel Corsa D,2011,97 000 km,1 229 cm3,,,Zduñska Wola,£ódzkie
Opel Corsa D,2010,121 000 km,1 398 cm3,,,Myœlenice,Ma³opolskie
Opel Corsa E,2015,118 200 km,1 398 cm3,,,Witkowo,Wielkopolskie
Opel Corsa D,2009,90 850 km,1 250 cm3,,,£ask,£ódzkie
Opel Corsa D,2012,100 000 km,1 224 cm3,,,Wrzeœnia,Wielkopolskie
Opel Corsa D,2011,94 000 km,1 200 cm3,,,¯nin,Kujawsko-pomorskie
Opel Corsa D,2010,135 000 km,1 200 cm3,,,Sade Budy,Mazowieckie
Opel Corsa D,2011,120 000 km,1 400 cm3,,,Strzelno,Kujawsko-pomorskie
Opel Corsa D,2011,144 000 km,1 200 cm3,,,Strzelno,Kujawsko-pomorskie
Opel Corsa D,2010,145 789 km,Benzyna,,,Starachowice,Œwiêtokrzyskie
Opel Corsa D,79 000 km,1 250 cm3,Benzyna,,,Oleœnica,Dolnoœl¹skie
Opel Corsa D,130 400 km,1 200 cm3,Benzyna,,,Œwidnica,Dolnoœl¹skie
Opel Corsa D,123 293 km,1 229 cm3,Benzyna,,,£ask,£ódzkie
Opel Corsa D,102 000 km,1 364 cm3,Benzyna,,,Bytom,Œl¹skie
Opel Corsa D,87 117 km,1 200 cm3,Benzyna,,,Kraków,Ma³opolskie
Opel Corsa D,145 408 km,1 229 cm3,Benzyna,,,Przasnysz,Mazowieckie
Opel Corsa D,110 640 km,1 400 cm3,Benzyna,,,Ruda Œl¹ska,Œl¹skie
Opel Corsa D,108 000 km,1 364 cm3,Benzyna,,,Zabrze,Œl¹skie
Opel Corsa D,82 000 km,1 398 cm3,Benzyna,,,Szczecin,Zachodniopomorskie
Opel Corsa D,137 000 km,1 200 cm3,Benzyna,,,Rymanów,Podkarpackie
Opel Corsa D,107 000 km,1 200 cm3,Benzyna,,,Kutno,£ódzkie
Opel Corsa D,120 000 km,1 200 cm3,Benzyna,,,Maków Mazowiecki,Mazowieckie
Opel Corsa D,141 000 km,1 200 cm3,Benzyna,,,Mnichowo,Wielkopolskie
Opel Corsa D,101 000 km,1 229 cm3,Benzyna,,,Piotrków Kujawski,Kujawsko-pomorskie
Opel Corsa D,139 000 km,1 200 cm3,Benzyna,,,Ruda Œl¹ska,Œl¹skie
Opel Corsa D,83 587 km,1 400 cm3,Benzyna,,,Ruda Œl¹ska,Œl¹skie
Opel Corsa D,78 000 km,1 200 cm3,Benzyna,,,Tarnowskie Góry,Œl¹skie
Opel Corsa D,96 520 km,1 400 cm3,Benzyna,,,Zb¹szyñ,Wielkopolskie
Opel Corsa D,139 000 km,1 200 cm3,Benzyna,,,Bydgoszcz,Kujawsko-pomorskie
Opel Corsa D,93 000 km,998 cm3,Benzyna,,,Sadowie,Ma³opolskie
Opel Corsa D,91 000 km,1 398 cm3,Benzyna,,,Tarnobrzeg,Podkarpackie
Opel Corsa D,102 000 km,1 200 cm3,Benzyna,,,Leszno,Wielkopolskie
Opel Corsa D,118 500 km,1 200 cm3,Benzyna,,,Warszawa,Mazowieckie
Opel Corsa D,90 000 km,1 200 cm3,Benzyna,,,£ódŸ,£ódzkie
Opel Corsa D,2010,137 500 km,998 cm3,,,Warszawa,Mazowieckie
Opel Corsa D,2010,134 000 km,1 200 cm3,,,Szczecin,Zachodniopomorskie
Opel Corsa D,2012,120 000 km,1 200 cm3,,,Poznañ,Wielkopolskie
Opel Corsa D,2010,85 000 km,Benzyna,,,Katowice,Œl¹skie
Opel Corsa D,121 300 km,1 229 cm3,Benzyna,,,Radom,Mazowieckie
Opel Corsa D,98 000 km,1 200 cm3,Benzyna,,,Kokoszkowy,Pomorskie
Opel Corsa D,87 160 km,1 229 cm3,Benzyna,,,Wroc³aw,Dolnoœl¹skie
Opel Corsa D,84 000 km,1 229 cm3,Benzyna,,,£ódŸ,£ódzkie
Opel Corsa D,137 000 km,1 240 cm3,Benzyna,,,Góra Kalwaria,Mazowieckie
Opel Corsa D,111 000 km,1 229 cm3,Benzyna,,,£êkawica,Ma³opolskie
Opel Corsa D,141 000 km,1 000 cm3,Benzyna,,,Lublin,Lubelskie
Opel Corsa D,114 000 km,1 398 cm3,Benzyna,,,Wola Radziszowska,Ma³opolskie
Opel Corsa D,147 000 km,1 200 cm3,Benzyna,,,Mnichowo,Wielkopolskie
Opel Corsa D,119 850 km,1 229 cm3,Benzyna,,,Limanowa,Ma³opolskie
Opel Corsa D,130 000 km,1 249 cm3,Benzyna,,,Kêpno,Wielkopolskie
Opel Corsa D,90 000 km,Benzyna,2009,,,Tczew,Pomorskie
Opel Corsa D,998 cm3,Benzyna,2009,,,Sko³yszyn,Podkarpackie
Opel Corsa D,1 200 cm3,Benzyna,2012,,,Szarlejka,Œl¹skie
Opel Corsa D,1 200 cm3,Benzyna,2012,,,Piaseczno,Mazowieckie
Opel Corsa D,1 400 cm3,Benzyna,2009,,,Ochaby Ma³e,Œl¹skie
Opel Corsa D,1 000 cm3,Benzyna,2011,,,Trzebnica,Dolnoœl¹skie
Opel Corsa D,1 400 cm3,Benzyna,2011,,,Nowa S³upia,Œwiêtokrzyskie
Opel Corsa D,1 200 cm3,Benzyna,2011,,,Elbl¹g,Warmiñsko-mazurskie
Opel Corsa D,1 200 cm3,Benzyna,2010,,,Bytów,Pomorskie
Opel Corsa D,1 229 cm3,Benzyna,2009,,,Ciechanów,Mazowieckie
Opel Corsa D,998 cm3,Benzyna,2014,,,Knurów,Œl¹skie
Opel Corsa D,1 000 cm3,Benzyna,2010,,,D¹browa Górnicza,Œl¹skie
Opel Corsa D,1 229 cm3,Benzyna,2009,,,Olsztyn,Warmiñsko-mazurskie
Opel Corsa D,1 364 cm3,Benzyna,2015,,,Porêba,Œl¹skie
Opel Corsa E,1 000 cm3,Benzyna,2009,,,Piechcin,Kujawsko-pomorskie
Opel Corsa D,1 229 cm3,Benzyna,2009,,,Humniska,Podkarpackie
Opel Corsa D,2011,125 000 km,1 200 cm3,,,Zawiercie,Œl¹skie
Opel Corsa A,2009,133 000 km,1 248 cm3,,,Strzy¿ów,Podkarpackie
Opel Corsa D,2010,98 000 km,1 200 cm3,,,Olsztyn,Warmiñsko-mazurskie
Opel Corsa D,2009,139 000 km,1 229 cm3,,,Zawiercie,Œl¹skie
Opel Corsa D,2010,133 000 km,1 229 cm3,,,Warszawa,Mazowieckie
Opel Corsa D,2011,90 000 km,1 398 cm3,,,Nidzica,Warmiñsko-mazurskie
Opel Corsa D,2011,120 000 km,1 000 cm3,,,Skierniewice,£ódzkie
Opel Corsa D,2012,93 645 km,1 200 cm3,,,Z¹bkowice Œl¹skie,Dolnoœl¹skie
Opel Corsa D,2009,142 000 km,1 200 cm3,,,Gniezno,Wielkopolskie
Opel Corsa D,2010,98 646 km,1 229 cm3,,,£ódŸ,£ódzkie
Opel Corsa D,2011,119 000 km,1 398 cm3,,,Œwiebodzin,Lubuskie
Opel Corsa D,2010,144 868 km,1 390 cm3,,,¯ary,Lubuskie
Opel Corsa D,2011,114 000 km,1 200 cm3,,,Mierzêcice,Œl¹skie
Opel Corsa D,2009,110 700 km,1 229 cm3,,,Gniezno,Wielkopolskie
Opel Corsa D,2011,149 000 km,1 400 cm3,,,Truskolasy,Œl¹skie
Opel Corsa D,2012,92 000 km,1 200 cm3,,,Rybnik,Œl¹skie
Opel Corsa D,2011,109 350 km,1 400 cm3,,,Ustroñ,Œl¹skie
Opel Corsa D,2010,149 000 km,1 400 cm3,,,Przyszowice,Œl¹skie
Opel Corsa D,2010,136 000 km,1 398 cm3,,,Resko,Zachodniopomorskie
Opel Corsa D,2011,112 000 km,1 258 cm3,,,Czêstochowa,Œl¹skie
Opel Corsa D,2009,148 000 km,1 229 cm3,,,W³oc³awek,Kujawsko-pomorskie
Opel Corsa D,2009,149 300 km,1 200 cm3,,,Skorzêcin,Wielkopolskie
Opel Corsa D,2010,95 128 km,1 398 cm3,,,Gryfino,Zachodniopomorskie
Opel Corsa D,2009,76 000 km,998 cm3,,,Jelenia Góra,Dolnoœl¹skie
Opel Corsa D,2009,134 045 km,1 000 cm3,,,Zgorzelec,Dolnoœl¹skie
Opel Corsa D,2010,142 000 km,1 229 cm3,,,Ropczyce,Podkarpackie
Opel Corsa D,2011,120 700 km,1 200 cm3,,,Gorzów Wielkopolski,Lubuskie
Opel Corsa D,2013,105 218 km,Benzyna,,,Zambrów,Podlaskie
Opel Corsa D,126 095 km,1 398 cm3,Benzyna,,,Pszów,Œl¹skie
Opel Corsa D,92 858 km,1 229 cm3,Benzyna,,,Bydgoszcz,Kujawsko-pomorskie
Opel Corsa D,79 000 km,1 229 cm3,Benzyna,,,Strzegom,Dolnoœl¹skie
Opel Corsa D,2012,81 000 km,1 229 cm3,,,Kraków,Ma³opolskie
Opel Corsa D,2010,113 565 km,1 400 cm3,,,Strzelno,Kujawsko-pomorskie
Opel Corsa D,2009,130 000 km,1 229 cm3,,,S³omniki,Ma³opolskie
Opel Corsa D,2011,99 600 km,1 368 cm3,,,Szamotu³y,Wielkopolskie
Opel Corsa D,2010,108 753 km,1 229 cm3,,,Nidzica,Warmiñsko-mazurskie
Opel Corsa D,2009,145 000 km,1 200 cm3,,,Wolbrom,Ma³opolskie
Opel Corsa D,2011,92 000 km,1 400 cm3,,,Wolbrom,Ma³opolskie
Opel Corsa D,2009,147 000 km,1 000 cm3,,,Wola Buczkowska,£ódzkie
Opel Corsa D,2011,97 963 km,1 229 cm3,,,Poznañ,Wielkopolskie
Opel Corsa D,2011,141 000 km,1 229 cm3,,,Sieradz,£ódzkie
Opel Corsa D,2011,97 963 km,1 229 cm3,,,Katowice,Œl¹skie
Opel Corsa D,2013,96 420 km,1 229 cm3,,,Rzeszów,Podkarpackie
Opel Corsa D,2013,90 000 km,Benzyna,,,Komorów,Mazowieckie
Opel Corsa D,134 000 km,1 229 cm3,Benzyna,,,Czchów,Ma³opolskie
Opel Corsa D,98 986 km,1 200 cm3,Benzyna,,,Ustroñ,Œl¹skie
Opel Corsa D,146 000 km,1 400 cm3,Benzyna,,,Gniezno,Wielkopolskie
Opel Corsa D,93 000 km,1 398 cm3,Benzyna,,,Wysogotowo,Wielkopolskie
Opel Corsa E,89 683 km,1 398 cm3,Benzyna,,,Oleœnica,Dolnoœl¹skie
Opel Corsa D,106 000 km,1 400 cm3,Benzyna,,,Strzegom,Dolnoœl¹skie
Opel Corsa D,125 000 km,1 229 cm3,Benzyna,,,Che³m,Lubelskie
Opel Corsa D,130 000 km,1 400 cm3,Benzyna,,,P³ock,Mazowieckie
Opel Corsa E,110 000 km,1 400 cm3,Benzyna,,,Ostrzeszów,Wielkopolskie
Opel Corsa D,120 000 km,1 200 cm3,Benzyna,,,Mogilno,Kujawsko-pomorskie
Opel Corsa D,97 000 km,1 229 cm3,Benzyna,,,Warszawa,Mazowieckie
Opel Corsa D,106 000 km,1 200 cm3,Benzyna,,,Che³m Œl¹ski,Œl¹skie
Opel Corsa D,141 000 km,1 395 cm3,Benzyna,,,Mszana,Œl¹skie
Opel Corsa D,127 445 km,1 200 cm3,Benzyna,,,D¹brówka,Ma³opolskie
Opel Corsa D,114 000 km,1 398 cm3,Benzyna,,,Zabrze,Œl¹skie
Opel Corsa D,131 000 km,1 200 cm3,Benzyna,,,Ko³obrzeg,Zachodniopomorskie
Opel Corsa D,102 000 km,1 389 cm3,Benzyna,,,Radziejów,Kujawsko-pomorskie
Opel Corsa D,80 000 km,Benzyna,2012,,,Poznañ,Wielkopolskie
Opel Corsa D,2011,142 000 km,1 200 cm3,,,Mogilno,Kujawsko-pomorskie
Opel Corsa D,2014,77 000 km,998 cm3,,,Mor¹g,Warmiñsko-mazurskie
Opel Corsa D,2009,129 000 km,1 400 cm3,,,Bytom,Œl¹skie
Opel Corsa D,2009,114 060 km,1 200 cm3,,,Wielka Wieœ,Ma³opolskie
Opel Corsa D,2009,123 427 km,1 200 cm3,,,Dobrzyniewo Du¿e,Podlaskie
Opel Corsa D,2009,142 000 km,1 364 cm3,,,Rybnik,Œl¹skie
Opel Corsa D,2011,129 853 km,1 229 cm3,,,Ryki,Lubelskie
Opel Corsa D,2011,108 800 km,1 229 cm3,,,Wroc³aw,Dolnoœl¹skie
Opel Corsa D,2010,129 700 km,1 229 cm3,,,Mogilno,Kujawsko-pomorskie
Opel Corsa D,2012,115 000 km,1 200 cm3,,,Gostyñ,Œl¹skie
Opel Corsa D,2012,100 000 km,1 400 cm3,,,Oleœnica,Dolnoœl¹skie
Opel Corsa D,2011,88 000 km,1 400 cm3,,,Bartoszyce,Warmiñsko-mazurskie
Opel Corsa D,2009,126 000 km,1 229 cm3,,,Krosno,Podkarpackie
Opel Corsa D,2011,132 000 km,1 200 cm3,,,Kanie,Mazowieckie
Opel Corsa D,2012,102 000 km,1 200 cm3,,,Ostrów Wielkopolski,Wielkopolskie
Opel Corsa D,2009,112 000 km,1 200 cm3,,,Kampinos,Mazowieckie
Opel Corsa D,2011,148 130 km,1 198 cm3,,,Mod³a,£ódzkie
Opel Corsa D,2009,121 145 km,1 229 cm3,,,¯nin,Kujawsko-pomorskie
Opel Corsa D,2009,120 000 km,1 229 cm3,,,Gryfów Œl¹ski,Dolnoœl¹skie
Opel Corsa D,2010,112 000 km,1 200 cm3,,,£adna,Ma³opolskie
Opel Corsa D,2011,140 500 km,1 398 cm3,,,Che³mno,Kujawsko-pomorskie
Opel Corsa D,2011,104 000 km,1 398 cm3,,,Czêstochowa,Œl¹skie
Opel Corsa D,2009,105 000 km,1 200 cm3,,,Radzymin,Mazowieckie
Opel Corsa D,2011,127 100 km,1 400 cm3,,,Opatów,Wielkopolskie
Opel Corsa D,2010,105 658 km,1 400 cm3,,,Alwernia,Ma³opolskie
Opel Corsa D,2009,98 000 km,1 229 cm3,,,Brzechów,Œwiêtokrzyskie
Opel Corsa D,2009,98 000 km,1 200 cm3,,,Tarnów,Ma³opolskie
Opel Corsa B,2011,146 500 km,1 200 cm3,,,Ostrowiec Œwiêtokrzyski,Œwiêtokrzyskie
Opel Corsa D,2009,124 956 km,1 364 cm3,,,Radom,Mazowieckie
Opel Corsa D,2011,135 000 km,1 229 cm3,,,Sucha Beskidzka,Ma³opolskie
Opel Corsa D,2010,135 700 km,999 cm3,,,Szamotu³y,Wielkopolskie
