title,location,time_of_work,type_of_agreement,salary,article_url
"do pracy w ""Burger Point""","Warszawa, Bielany",,Umowa o pracę, od 4 000 zł do 5 000 zł,https://www.olx.pl/oferta/do-pracy-w-burger-point-CID4-IDsCXvT.html#fdf91ad939;promoted
POMOC KUCHENNA - Włoskie Bistro Mokotów 14-16 PLN,"Warszawa, Ursynów",Pełny etat,Umowa o pracę,/mies.  brutto od 15 zł,https://www.olx.pl/oferta/pomoc-kuchenna-wloskie-bistro-mokotow-14-16-pln-CID4-IDCKZU8.html#fdf91ad939;promoted
KELNER (KA) / BARMAN (KA) (13-15 PLN/h netto),"Warszawa, Śródmieście",,Umowa o pracę, do 17 zł/godz.  brutto,https://www.olx.pl/oferta/kelner-ka-barman-ka-13-15-pln-h-netto-CID4-IDCySWg.html#fdf91ad939;promoted
Kucharz,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę, od 13 zł do 15 zł,https://www.olx.pl/oferta/kucharz-CID4-IDCWHj3.html#fdf91ad939
Pracownik Max Premium Burgers Złote Tarasy,"Warszawa, Wawer",,Umowa o pracę,/mies.  brutto od 14 zł,https://www.olx.pl/oferta/pracownik-max-premium-burgers-zlote-tarasy-CID4-IDCfwf1.html#fdf91ad939;promoted
Restauracja w Centrum - pomoc kelnerska / kelner,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, do 16 zł/godz.  brutto,https://www.olx.pl/oferta/restauracja-w-centrum-pomoc-kelnerska-kelner-CID4-IDA7L6T.html#fdf91ad939
Zatrudnimy Kucharzy / pomoc kuchni !,"Warszawa, Mokotów",,Umowa o pracę, od 13 zł do 15 zł,https://www.olx.pl/oferta/zatrudnimy-kucharzy-pomoc-kuchni-CID4-IDCWxYZ.html#fdf91ad939
Kelnerka/Kelner,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,/godz.  brutto od 18 zł,https://www.olx.pl/oferta/kelnerka-kelner-CID4-IDAGJzU.html#fdf91ad939
.Osoba do sprzątania i zmywania Restauracja Galeria Młociny,"Warszawa, Śródmieście",,Umowa o pracę, do 20 zł/mies.  brutto,https://www.olx.pl/oferta/osoba-do-sprzatania-i-zmywania-restauracja-galeria-mlociny-CID4-IDBXy4C.html#fdf91ad939
Kierownik Zmiany Costa Coffee- Warszawa,"Warszawa, Wola",Pełny etat,Umowa o pracę,16 zł/godz. brutto od,https://www.olx.pl/oferta/kierownik-zmiany-costa-coffee-warszawa-CID4-IDCdwGh.html#fdf91ad939
Kucharz (k/m),"Warszawa, Bielany",,Umowa o pracę, 18 zł do 25 zł/godz.,https://www.olx.pl/oferta/kucharz-k-m-CID4-IDCy8S0.html#fdf91ad939
Zmywający/Zmywająca,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 17 zł do,https://www.olx.pl/oferta/zmywajacy-zmywajaca-CID4-IDCzi7A.html#fdf91ad939
"Pracownik Gastronomii (3/4 etatu lub 1/2 etatu), IKEA Retail, Targówek","Warszawa, Śródmieście",,Umowa o pracę, 22 zł/godz.  brutto od,https://www.olx.pl/oferta/pracownik-gastronomii-3-4-etatu-lub-1-2-etatu-ikea-retail-targowek-CID4-IDCWpmI.html#fdf91ad939
Obsługa klienta w restauracji!!WOLNE WEEKENDY,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, 3 000 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/obsluga-klienta-w-restauracji-wolne-weekendy-CID4-IDxPLFV.html#fdf91ad939
Kucharz cateringowy - Wola,"Warszawa, Wawer",,Umowa o pracę,  brutto16 zł/godz. brutto,https://www.olx.pl/oferta/kucharz-cateringowy-wola-CID4-IDCQ5gn.html#fdf91ad939
Praca kasjer/obsługa klienta Express Kuchnia Marche,"Warszawa, Bielany",Pełny etat,Umowa o pracę,2 940 zł/mies. brutto od,https://www.olx.pl/oferta/praca-kasjer-obsluga-klienta-express-kuchnia-marche-CID4-IDzmhsR.html#fdf91ad939;promoted
Praca Pomoc Kuchenna / Sałatkowa,"Warszawa, Praga-Południe",,Umowa o pracę, 20 zł do 21 zł/mies.,https://www.olx.pl/oferta/praca-pomoc-kuchenna-salatkowa-CID4-IDAipgD.html#fdf91ad939;promoted
Kucharz###Wolne weekendy#,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,  brutto od 3 500 zł do,https://www.olx.pl/oferta/kucharz-wolne-weekendy-CID4-IDyf5Ck.html#fdf91ad939
Zmywak #wolne weekendy#,"Warszawa, Wawer",,Umowa o pracę, 4 500 zł/mies.  brutto od,https://www.olx.pl/oferta/zmywak-wolne-weekendy-CID4-IDyBoRN.html#fdf91ad939
Pracownik zmiany nocnej - Restauracja McDonald's Radość,"Warszawa, Ursus",Pełny etat,Umowa o pracę, 15 zł do 17 zł/godz.,https://www.olx.pl/oferta/pracownik-zmiany-nocnej-restauracja-mcdonalds-radosc-CID4-IDy3Qd4.html#fdf91ad939
Pracownik restauracji Burger King Promenada,"Warszawa, Ursus",,Umowa o pracę,  brutto od 18 zł do,https://www.olx.pl/oferta/pracownik-restauracji-burger-king-promenada-CID4-IDCKdOk.html#fdf91ad939
Pracownik Bistro,"Warszawa, Targówek",Niepełny etat,Umowa o pracę, 21 zł/godz.  brutto od,https://www.olx.pl/oferta/pracownik-bistro-CID4-IDCPS3u.html#fdf91ad939
Pracownik restauracji na weekendy Jawczyce,"Warszawa, Wola",,Umowa o pracę, 16 zł do 17 zł/godz.,https://www.olx.pl/oferta/pracownik-restauracji-na-weekendy-jawczyce-CID4-IDCEbVo.html#fdf91ad939
Pracownik restauracji McDonald`s Jawczyce,"Warszawa, Wola",Pełny etat,Umowa o pracę,  brutto od 15 zł do,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-jawczyce-CID4-IDCEbVs.html#fdf91ad939
Kucharz -Restauracja OLIMP -Kantyna/Biurowiec -Mokotów,"Warszawa, Praga-Północ",,Umowa o pracę, 17 zł/godz.  brutto17 zł,https://www.olx.pl/oferta/kucharz-restauracja-olimp-kantyna-biurowiec-mokotow-CID4-IDBBMWU.html#fdf91ad939
Poszukujemy Office Mangera do restauracji,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,/godz. brutto od 3 680 zł,https://www.olx.pl/oferta/poszukujemy-office-mangera-do-restauracji-CID4-IDCW9Tf.html#fdf91ad939
Kierownik Zmiany Salad Story Wola Park- od zaraz!,"Warszawa, Praga-Północ",,Umowa o pracę, do 4 104 zł/mies.  brutto,https://www.olx.pl/oferta/kierownik-zmiany-salad-story-wola-park-od-zaraz-CID4-IDCW9Hr.html#fdf91ad939;promoted
ZMYWAK / POMOC - Włoskie Bistro Mokotów 12-14 PLN,"Warszawa, Wawer",,Umowa o pracę,5 000 zł/mies. brutto od,https://www.olx.pl/oferta/zmywak-pomoc-wloskie-bistro-mokotow-12-14-pln-CID4-IDCL01y.html#68ed601ee5;promoted
POMOC KUCHENNA - Włoskie Bistro Mokotów 14-16 PLN,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 12 zł do 14 zł/godz.,https://www.olx.pl/oferta/pomoc-kuchenna-wloskie-bistro-mokotow-14-16-pln-CID4-IDCKZU8.html#68ed601ee5;promoted
Kelnerka do włoskiej prosciutterii w centrum Warszawy,"Warszawa, Mokotów",,Umowa o pracę,  brutto od 14 zł do,https://www.olx.pl/oferta/kelnerka-do-wloskiej-prosciutterii-w-centrum-warszawy-CID4-IDCAyU8.html#68ed601ee5
KASJERKA lokal gastronomiczny ATRIUM TARGÓWEK,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, 16 zł/godz.  brutto od,https://www.olx.pl/oferta/kasjerka-lokal-gastronomiczny-atrium-targowek-CID4-IDCAvKI.html#68ed601ee5
Kelnerki/ów zatrudnimy,"Warszawa, Bielany",,Umowa o pracę, 3 000 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/kelnerki-ow-zatrudnimy-CID4-IDBpEDj.html#68ed601ee5
Młodszy kucharz do lunchbaru na Ochocie,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 3 500 zł do,https://www.olx.pl/oferta/mlodszy-kucharz-do-lunchbaru-na-ochocie-CID4-IDCA2kT.html#68ed601ee5
Kierownika do kuchni cateringowej,"Warszawa, Targówek",,Umowa o pracę, 5 500 zł/mies.  brutto od,https://www.olx.pl/oferta/kierownika-do-kuchni-cateringowej-CID4-IDCyb0R.html#68ed601ee5
Mood Warsaw i Hotel Sixty Six poszukują kucharzy !!!,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, 4 000 zł do 8 000 zł/mies.,https://www.olx.pl/oferta/mood-warsaw-i-hotel-sixty-six-poszukuja-kucharzy-CID4-IDyQg2P.html#68ed601ee5
Nowa Cukiernia na Żoliborzu szuka Pracownika Obsługi top class :),"Warszawa, Ochota",,Umowa o pracę,  brutto od 13 zł do,https://www.olx.pl/oferta/nowa-cukiernia-na-zoliborzu-szuka-pracownika-obslugi-top-class-CID4-IDCzVUV.html#68ed601ee5
"Zatrudnię kucharza, fantastyczne warunki,","Warszawa, Mokotów",Pełny etat,Umowa o pracę, 15 zł/godz.  brutto od,https://www.olx.pl/oferta/zatrudnie-kucharza-fantastyczne-warunki-CID4-IDCzSAo.html#68ed601ee5
Dyrektor Sprzedaży,"Warszawa, Śródmieście",,Umowa o pracę, 16 zł do 20 zł/godz.,https://www.olx.pl/oferta/dyrektor-sprzedazy-CID4-IDAopNi.html#68ed601ee5
Matcha Bistro&Bar zatrudni baristę/kelnera,"Warszawa, Żoliborz",Pełny etat,Umowa o pracę,  brutto od 4 000 zł do,https://www.olx.pl/oferta/matcha-bistro-bar-zatrudni-bariste-kelnera-CID4-IDzcTba.html#68ed601ee5
"Restauracja ""Kacperek"" na bródnie Zatrudni Kelnerek na etat","Warszawa, Praga-Południe",,Umowa o pracę, 5 500 zł/mies.  brutto od,https://www.olx.pl/oferta/restauracja-kacperek-na-brodnie-zatrudni-kelnerek-na-etat-CID4-IDCzwmN.html#68ed601ee5
Kucharz kuchni Tajskiej,"Warszawa, Wilanów",Pełny etat,Umowa o pracę, 18 zł do 22 zł/mies.,https://www.olx.pl/oferta/kucharz-kuchni-tajskiej-CID4-IDCzl84.html#68ed601ee5
bufetowa,"Warszawa, Śródmieście",,Umowa o pracę,  brutto od 19 zł do,https://www.olx.pl/oferta/bufetowa-CID4-IDCz2Bb.html#68ed601ee5
kucharka w prywatnym domu okolice Warszawy,"Warszawa, Targówek",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kucharka-w-prywatnym-domu-okolice-warszawy-CID4-IDCyv4j.html#68ed601ee5
POMOC piekarza noce Bemowo,"Warszawa, Ochota",,Umowa o pracę,None,https://www.olx.pl/oferta/pomoc-piekarza-noce-bemowo-CID4-IDzxAO6.html#68ed601ee5
Kucharz - czarodziej - artysta,"Warszawa, Wola",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kucharz-czarodziej-artysta-CID4-IDCyn8L.html#68ed601ee5
Praca w warszawskiej Rotundzie,"Warszawa, Wilanów",,Umowa o pracę,None,https://www.olx.pl/oferta/praca-w-warszawskiej-rotundzie-CID4-IDCy1ed.html#68ed601ee5
Zatrudnimy kucharza (kuchnia amerykańska),"Warszawa, Bemowo",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnimy-kucharza-kuchnia-amerykanska-CID4-IDCxSzY.html#68ed601ee5
Zatrudnimy Kucharzy / pomoc kuchni !,"Warszawa, Ochota",,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnimy-kucharzy-pomoc-kuchni-CID4-IDCxOFm.html#68ed601ee5
Doświadczony Kierownik Zmiany.,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/doswiadczony-kierownik-zmiany-CID4-IDArN8m.html#68ed601ee5
Pracownik restauracji Mcdonald's ul. Radzymińska 94a - 3000 BRUTTO!,"Warszawa, Białołęka",,Umowa o pracę, od 2 900 zł do 3 000 zł,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-ul-radzyminska-94a-3000-brutto-CID4-IDCRHod.html#47c989f65b;promoted
Praca kasjer/obsługa klienta Express Kuchnia Marche,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,/mies.  brutto2 940 zł/mies.,https://www.olx.pl/oferta/praca-kasjer-obsluga-klienta-express-kuchnia-marche-CID4-IDzmhsR.html#47c989f65b;promoted
Kucharz,"Warszawa, Targówek",,Umowa o pracę, brutto od 15 zł do,https://www.olx.pl/oferta/kucharz-CID4-IDCOlUG.html#47c989f65b
Kasjerkę/ kasjera szuka restauracja w Centrum Warszawy,"Warszawa, Wawer",Pełny etat,Umowa o pracę, 17 zł/godz.  brutto od,https://www.olx.pl/oferta/kasjerke-kasjera-szuka-restauracja-w-centrum-warszawy-CID4-IDCOkKF.html#47c989f65b;promoted
Restauracja zatrudni kucharza zmianowego,"Warszawa, Praga-Północ",,Umowa o pracę, 3 000 zł do 3 500 zł/mies.,https://www.olx.pl/oferta/restauracja-zatrudni-kucharza-zmianowego-CID4-IDCkEMC.html#47c989f65b
Kreatywny Kucharz! Kantyna! Warszawa! Umowa o pracę.,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,  brutto od 4 000 zł do,https://www.olx.pl/oferta/kreatywny-kucharz-kantyna-warszawa-umowa-o-prace-CID4-IDCOisZ.html#47c989f65b
Kierowca - Dostawca na lotnisku w Warszawie,"Warszawa, Śródmieście",,Umowa o pracę, 5 500 zł/mies.  brutto od,https://www.olx.pl/oferta/kierowca-dostawca-na-lotnisku-w-warszawie-CID4-IDwTk51.html#47c989f65b
Pomoc kuchenna do Cateringu od zaraz,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 21 zł do 25 zł/godz.,https://www.olx.pl/oferta/pomoc-kuchenna-do-cateringu-od-zaraz-CID4-IDCOgMJ.html#47c989f65b
Sam Powiśle szuka osób na stanowisko zmywające.,"Warszawa, Praga-Północ",,Umowa o pracę,  brutto26 zł/godz. brutto,https://www.olx.pl/oferta/sam-powisle-szuka-osob-na-stanowisko-zmywajace-CID4-IDAEIYG.html#47c989f65b
Sprzedawca/Ekspedientka do punktu gastronomicznego,"Warszawa, Ochota",Pełny etat,Umowa o pracę, od 3 300 zł do 3 600 zł,https://www.olx.pl/oferta/sprzedawca-ekspedientka-do-punktu-gastronomicznego-CID4-IDCOftY.html#47c989f65b
Kucharz do włoskiej restauracji,"Warszawa, Włochy",,Umowa o pracę,/mies.  brutto od 13 zł,https://www.olx.pl/oferta/kucharz-do-wloskiej-restauracji-CID4-IDCOeyv.html#47c989f65b
zatrudnię kelnerke,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, do 17 zł/mies.  brutto,https://www.olx.pl/oferta/zatrudnie-kelnerke-CID4-IDCO5qO.html#47c989f65b
Kucharka od stycznia,"Warszawa, Wawer",,Umowa o pracę, od 3 200 zł do 3 250 zł,https://www.olx.pl/oferta/kucharka-od-stycznia-CID4-IDCNN9Y.html#47c989f65b
Kelner/Kelnerka,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,/mies.  brutto od 3 200 zł,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDtITnr.html#47c989f65b
"NOWE WYŻSZE STAWKI !! 18,5 zł/h Praca w Restauracji McDonald's","Warszawa, Targówek",,Umowa o pracę, do 3 250 zł/mies.  brutto,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18-5-zl-h-praca-w-restauracji-mcdonalds-CID4-IDArTkW.html#47c989f65b
"NOWE WYŻSZE STAWKI 18,5 zł/h Godzinach popołudniowe- McDonald's","Warszawa, Wola",Pełny etat,Umowa o pracę, od 4 100 zł do 4 120 zł,https://www.olx.pl/oferta/nowe-wyzsze-stawki-18-5-zl-h-godzinach-popoludniowe-mcdonalds-CID4-IDBDaHR.html#47c989f65b
NOWE WYŻSZE STAWKI !!! Menager Restauracji McDonald's ul. Pelikanów 24,"Warszawa, Śródmieście",,Umowa o pracę,/mies.  brutto od 7 000 zł,https://www.olx.pl/oferta/nowe-wyzsze-stawki-menager-restauracji-mcdonalds-ul-pelikanow-24-CID4-IDBFsLV.html#47c989f65b
Manager Generalny / Restauracja Ursynów,"Warszawa, Ursynów",Pełny etat,Umowa o pracę, do 15 000 zł/mies.  brutto,https://www.olx.pl/oferta/manager-generalny-restauracja-ursynow-CID4-IDCIq8A.html#47c989f65b
bufetowa/bufetowy z wydawaniem posiłków,"Warszawa, Ursynów",,Umowa o pracę, od 14 zł do 15 zł,https://www.olx.pl/oferta/bufetowa-bufetowy-z-wydawaniem-posilkow-CID4-IDB0XsY.html#47c989f65b
produkcja kanapek&sałatek - nocna zmiana (21:00 - 05:00),"Warszawa, Ursynów",Pełny etat,Umowa o pracę,/godz.  brutto od 14 zł,https://www.olx.pl/oferta/produkcja-kanapek-salatek-nocna-zmiana-2100-0500-CID4-IDB10yo.html#47c989f65b
pomoc kuchenna w stołówce szkolnej,"Warszawa, Ursynów",,Umowa o pracę, do 15 zł/godz.  brutto,https://www.olx.pl/oferta/pomoc-kuchenna-w-stolowce-szkolnej-CID4-IDB0W5i.html#47c989f65b
Obsługa klienta w Centrum Warszawy 14 zł/h netto,"Warszawa, Bielany",Pełny etat,Umowa o pracę, od 4 500 zł do 6 000 zł,https://www.olx.pl/oferta/obsluga-klienta-w-centrum-warszawy-14-zl-h-netto-CID4-IDCI9YD.html#47c989f65b
Sprzedawca gastronomia,"Warszawa, Bielany",,Umowa o pracę,/mies.  brutto od 4 000 zł,https://www.olx.pl/oferta/sprzedawca-gastronomia-CID4-IDCMUmv.html#47c989f65b
Pracownik do gastronomii,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, do 5 500 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-do-gastronomii-CID4-IDCMMze.html#47c989f65b
Kucharz kuchni ciepłej do restauracji SUSHI w Śródmieściu,"Warszawa, Śródmieście",,Umowa o pracę, od 14 zł do 20 zł,https://www.olx.pl/oferta/kucharz-kuchni-cieplej-do-restauracji-sushi-w-srodmiesciu-CID4-IDCMGiW.html#47c989f65b
"Kierownik Restauracji, Pizza Dominium Warszawa","Warszawa, Żoliborz",Pełny etat,Umowa o pracę,/godz.  brutto od 4 000 zł,https://www.olx.pl/oferta/kierownik-restauracji-pizza-dominium-warszawa-CID4-IDBJ6Z7.html#47c989f65b
Kierownik Zmiany - Pizza Dominium Ursynów/Mokotów/Ochota,"Warszawa, Ursynów",,Umowa o pracę, do 6 000 zł/mies.  brutto,https://www.olx.pl/oferta/kierownik-zmiany-pizza-dominium-ursynow-mokotow-ochota-CID4-IDCLAQt.html#47c989f65b
Zatrudnię pizzera.,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 4 000 zł do 5 000 zł,https://www.olx.pl/oferta/zatrudnie-pizzera-CID4-IDCHnCy.html#47c989f65b
Praca w restauracji Sushi,"Warszawa, Śródmieście",,Umowa o pracę,/mies.  brutto od 7 000 zł,https://www.olx.pl/oferta/praca-w-restauracji-sushi-CID4-IDxP5MK.html#47c989f65b
Barman / Barbeck - wydawka w Restauracji,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, do 10 000 zł/mies.  brutto,https://www.olx.pl/oferta/barman-barbeck-wydawka-w-restauracji-CID4-IDAPs5q.html#47c989f65b
Gastronomia,"Warszawa, Wesoła",,Umowa o pracę,15 zł/godz. brutto od,https://www.olx.pl/oferta/gastronomia-CID4-IDCMhYY.html#47c989f65b
Kucharz Sushi w Niemczech,"Warszawa, Wola",Pełny etat,Umowa o pracę, 2 600 zł do 2 900 zł/mies.,https://www.olx.pl/oferta/kucharz-sushi-w-niemczech-CID4-IDBrulK.html#47c989f65b
Pomoc kucharza - produkcja pierogów,"Warszawa, Śródmieście",,Umowa o pracę,  brutto15 zł/godz. brutto,https://www.olx.pl/oferta/pomoc-kucharza-produkcja-pierogow-CID4-IDCMcId.html#47c989f65b
Pracownik obsługi gości ( bary sałatkowe),"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, od 2 600 zł do 3 200 zł,https://www.olx.pl/oferta/pracownik-obslugi-gosci-bary-salatkowe-CID4-IDCMbhb.html#47c989f65b
kelner/kelnerka,"Warszawa, Bemowo",,Umowa o pracę,/mies.  brutto od 16 zł,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDCMa3N.html#47c989f65b
Catering Pure&Fresh zatrudni Pomoc Kuchenną /Zmywak,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/catering-pure-fresh-zatrudni-pomoc-kuchenna-zmywak-CID4-IDzWifg.html#47c989f65b
Kierownik Cukiernia Sowa,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/kierownik-cukiernia-sowa-CID4-IDCM1rY.html#47c989f65b
Manager Zmianowy,"Warszawa, Śródmieście",Niepełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/manager-zmianowy-CID4-IDCFWQK.html#47c989f65b
Pracownik do małego lokalu z burgerami Ursus Skorosze,"Warszawa, Praga-Południe",,Umowa o pracę,None,https://www.olx.pl/oferta/pracownik-do-malego-lokalu-z-burgerami-ursus-skorosze-CID4-IDCLZ2q.html#47c989f65b
Zatrudnię pół etatu na garmażerk,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnie-pol-etatu-na-garmazerk-CID4-IDCLUPw.html#47c989f65b
