title,location,time_of_work,type_of_agreement,salary,article_url
Kelner/Kelnerka,"Warszawa, Śródmieście",,Umowa o pracę,/mies. brutto od 3 300 zł,https://www.olx.pl/oferta/kelner-kelnerka-CID4-IDCy3Iz.html#f3271036db
Barista,"Warszawa, Wola",Pełny etat,Umowa o pracę, do 3 500 zł/mies.  brutto,https://www.olx.pl/oferta/barista-CID4-IDCxYlu.html#f3271036db
zatrudnimy pania zmywajaca,"Warszawa, Śródmieście",,Umowa o pracę, od 17 zł do 18 zł,https://www.olx.pl/oferta/zatrudnimy-pania-zmywajaca-CID4-IDCjR3b.html#f3271036db
Kucharz,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,/godz.  brutto od 4 000 zł,https://www.olx.pl/oferta/kucharz-CID4-IDCPPKt.html#f3271036db
Kucharz produkcyjny/wydawkowy,"Warszawa, Ursus",,Umowa o pracę, do 5 000 zł/mies.  brutto,https://www.olx.pl/oferta/kucharz-produkcyjny-wydawkowy-CID4-IDBiwwS.html#f3271036db
Kucharz Kuchnia Ciepła,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,6 000 zł/mies. brutto3 000 zł,https://www.olx.pl/oferta/kucharz-kuchnia-ciepla-CID4-IDCPMVg.html#f3271036db
Kameralne przedszkole w Wilanowie zatrudni osobę do pracy w kuchni,"Warszawa, Ochota",,Umowa o pracę,/mies. brutto od 13 zł,https://www.olx.pl/oferta/kameralne-przedszkole-w-wilanowie-zatrudni-osobe-do-pracy-w-kuchni-CID4-IDysX2m.html#f3271036db
Kontroler jakości finalnego produktu - catering,"Warszawa, Ochota",Pełny etat,Umowa o pracę, do 15 zł/mies.  brutto,https://www.olx.pl/oferta/kontroler-jakosci-finalnego-produktu-catering-CID4-IDCKS0b.html#f3271036db
Manager lokalu gastronomicznego,"Warszawa, Śródmieście",,Umowa o pracę, od 4 000 zł do 5 000 zł,https://www.olx.pl/oferta/manager-lokalu-gastronomicznego-CID4-IDCPzB9.html#f3271036db
Kierownik zmiany-kelner PORT ROYAL,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,/mies.  brutto od 14 zł,https://www.olx.pl/oferta/kierownik-zmiany-kelner-port-royal-CID4-IDCDLXL.html#f3271036db
Kucharz Zmianowy,"Warszawa, Wilanów",,Umowa o pracę, do 16 zł/godz.  brutto,https://www.olx.pl/oferta/kucharz-zmianowy-CID4-IDCPovl.html#f3271036db
Restauracja w Śródmieściu zatrudni Panią do zmywania,"Warszawa, Włochy",Pełny etat,Umowa o pracę,15 zł/godz. brutto od,https://www.olx.pl/oferta/restauracja-w-srodmiesciu-zatrudni-pania-do-zmywania-CID4-IDCPkWU.html#f3271036db;promoted
Zatrudnię Kelnerkę/Kelnera do Restauracji Sushi na Bielanach,"Warszawa, Praga-Południe",,Umowa o pracę, 3 000 zł do 5 000 zł/mies.,https://www.olx.pl/oferta/zatrudnie-kelnerke-kelnera-do-restauracji-sushi-na-bielanach-CID4-IDBOhxP.html#f3271036db
Kucharz,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 3 300 zł do,https://www.olx.pl/oferta/kucharz-CID4-IDBYqHa.html#f3271036db
Pomoc kuchenna/zmywak Białołęka / Tarchomin / Wawer Radość,"Warszawa, Mokotów",,Umowa o pracę, 4 100 zł/mies.  brutto3 500 zł,https://www.olx.pl/oferta/pomoc-kuchenna-zmywak-bialoleka-tarchomin-wawer-radosc-CID4-IDC1L9v.html#f3271036db
Kucharz | Restauracja Warszawa Bielany,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,/mies. brutto od 2 800 zł,https://www.olx.pl/oferta/kucharz-restauracja-warszawa-bielany-CID4-IDC3W6E.html#f3271036db
Pomoc kuchenna - praca od zaraz,"Warszawa, Białołęka",,Umowa o pracę, do 3 200 zł/mies.  brutto,https://www.olx.pl/oferta/pomoc-kuchenna-praca-od-zaraz-CID4-IDCOYfh.html#f3271036db
Pracownik Kebab Amal,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/pracownik-kebab-amal-CID4-IDpMjqt.html#f3271036db
Kelner/Barista,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/kelner-barista-CID4-IDyQIiR.html#f3271036db
Sprzedawca sklepu spożywczego,"Warszawa, Białołęka",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/sprzedawca-sklepu-spozywczego-CID4-IDyE0Lw.html#f3271036db
Recepcjonistka - Hotel,"Warszawa, Bielany",,Umowa o pracę,None,https://www.olx.pl/oferta/recepcjonistka-hotel-CID4-IDCEfS9.html#f3271036db
Kucharka/kucharz - catering dietetyczny wegetariański,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kucharka-kucharz-catering-dietetyczny-wegetarianski-CID4-IDA53XW.html#f3271036db
Zatrudnimy Początkującego kucharza sushi,"Warszawa, Bemowo",,Umowa o pracę,None,https://www.olx.pl/oferta/zatrudnimy-poczatkujacego-kucharza-sushi-CID4-IDCOEX6.html#f3271036db
Ciastkarz - ciasto francuskie,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/ciastkarz-ciasto-francuskie-CID4-IDBPRWJ.html#f3271036db
poszukujemy kierowcy - dostawcy,"Warszawa, Mokotów",,Umowa o pracę,None,https://www.olx.pl/oferta/poszukujemy-kierowcy-dostawcy-CID4-IDCOzNz.html#f3271036db
Asystenta menadżera a także pomoc kucharza w małym bistro,"Warszawa, Wola",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/asystenta-menadzera-a-takze-pomoc-kucharza-w-malym-bistro-CID4-IDCLp8V.html#f3271036db
Praca,"Warszawa, Ursus",,Umowa o pracę,None,https://www.olx.pl/oferta/praca-CID4-IDCOxJc.html#f3271036db
Kelnerka,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/kelnerka-CID4-IDCAsvl.html#f3271036db;promoted
"Kelner cateringowy, praca na stałe!","Warszawa, Praga-Północ",,Umowa o pracę,None,https://www.olx.pl/oferta/kelner-cateringowy-praca-na-stale-CID4-IDB75qy.html#f3271036db
McDonald's Wileńska- NOWE STAWKI,"Warszawa, Bielany",,Umowa o pracę, od 4 000 zł do 5 000 zł,https://www.olx.pl/oferta/mcdonalds-wilenska-nowe-stawki-CID4-IDxkbVF.html#c5ae80243a;promoted
Poszukujemy kucharza liniowego,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,/mies.  brutto od 2 800 zł,https://www.olx.pl/oferta/poszukujemy-kucharza-liniowego-CID4-IDBbgO6.html#c5ae80243a;promoted
Pracownik Restauracji McDonald's Centrum,"Warszawa, Targówek",,Umowa o pracę, do 3 000 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-centrum-CID4-IDCHHjS.html#c5ae80243a;promoted
Restauracja McDonalds Połczyńska zatrudni LIDERA GOŚCINNOŚCI,"Warszawa, Praga-Północ",Niepełny etat,Umowa o pracę, od 17 zł do 18 zł,https://www.olx.pl/oferta/restauracja-mcdonalds-polczynska-zatrudni-lidera-goscinnosci-CID4-IDAymlc.html#c5ae80243a
Barmanka do Cocktail Baru,"Warszawa, Śródmieście",,Umowa o pracę,/godz.  brutto od 18 zł,https://www.olx.pl/oferta/barmanka-do-cocktail-baru-CID4-IDCBQ8n.html#c5ae80243a
Restauracja ZEGARMISTRZOWSKA szuka zdolnego kucharza OD ZARAZ,"Warszawa, Bemowo",Pełny etat,Umowa o pracę, do 21 zł/godz.  brutto,https://www.olx.pl/oferta/restauracja-zegarmistrzowska-szuka-zdolnego-kucharza-od-zaraz-CID4-IDCH1An.html#c5ae80243a
Cukiernik,"Warszawa, Śródmieście",,Umowa o pracę,3 200 zł/mies. brutto od,https://www.olx.pl/oferta/cukiernik-CID4-IDCH046.html#c5ae80243a
Hala Koszyki - restauracja Jeff's zatrudni kucharzy,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, 17 zł do 18 zł/godz.,https://www.olx.pl/oferta/hala-koszyki-restauracja-jeffs-zatrudni-kucharzy-CID4-IDCGCtn.html#c5ae80243a
Restauracja zatrudni osobę na kuchnie zimną,"Warszawa, Targówek",,Umowa o pracę,  brutto od 3 500 zł do,https://www.olx.pl/oferta/restauracja-zatrudni-osobe-na-kuchnie-zimna-CID4-IDCaZcf.html#c5ae80243a
Pani do lepienia pierogów,"Warszawa, Mokotów",Pełny etat,Umowa o pracę, 6 000 zł/mies.  brutto od,https://www.olx.pl/oferta/pani-do-lepienia-pierogow-CID4-IDC87A7.html#c5ae80243a
Zatrudnię pomoc kuchni Warszawa-Falenica,"Warszawa, Śródmieście",,Umowa o pracę, 17 zł do 21 zł/godz.,https://www.olx.pl/oferta/zatrudnie-pomoc-kuchni-warszawa-falenica-CID4-IDCFTRG.html#c5ae80243a
.Kasjer/ka 2500zł netto,"Warszawa, Targówek",Pełny etat,Umowa o pracę,  brutto od 3 000 zł do,https://www.olx.pl/oferta/kasjer-ka-2500zl-netto-CID4-IDBIVk0.html#c5ae80243a
.Pomoc kuchenna- osoba do zmywania i produkcji surówek 2500netto,"Warszawa, Wawer",,Umowa o pracę, 4 000 zł/mies.  brutto od,https://www.olx.pl/oferta/pomoc-kuchenna-osoba-do-zmywania-i-produkcji-surowek-2500netto-CID4-IDBEMEx.html#c5ae80243a
Włoska restauracja zatrudni na stanowisko pomoc kucharza/pomoc pizzera,"Warszawa, Bielany",Pełny etat,Umowa o pracę, 3 000 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/wloska-restauracja-zatrudni-na-stanowisko-pomoc-kucharza-pomoc-pizzera-CID4-IDCFlpj.html#c5ae80243a
Barista/Baristka,"Warszawa, Bielany",,Umowa o pracę,  brutto od 4 000 zł do,https://www.olx.pl/oferta/barista-baristka-CID4-IDCFk0N.html#c5ae80243a
Kucharz poszukiwany.,"Warszawa, Bielany",Pełny etat,Umowa o pracę, 6 000 zł/mies.  brutto3 500 zł,https://www.olx.pl/oferta/kucharz-poszukiwany-CID4-IDB7fId.html#c5ae80243a
Dostawca Pizzy.,"Warszawa, Ochota",,Umowa o pracę,/mies. brutto od 15 zł,https://www.olx.pl/oferta/dostawca-pizzy-CID4-IDzvSjw.html#c5ae80243a
Barmana/Barmankę wydawkowego do PariPari w Złotych Tarasach,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę, do 17 zł/godz.  brutto,https://www.olx.pl/oferta/barmana-barmanke-wydawkowego-do-paripari-w-zlotych-tarasach-CID4-IDvhaWG.html#c5ae80243a
Kucharz do restauracji PariPari w Złotych Tarasach,"Warszawa, Bielany",,Umowa o pracę, od 16 zł do 20 zł,https://www.olx.pl/oferta/kucharz-do-restauracji-paripari-w-zlotych-tarasach-CID4-IDuwNSP.html#c5ae80243a
Kelner / Kelnerka do Restauracji Hotelu i do Cateringu Wawa,"Warszawa, Bielany",Pełny etat,Umowa o pracę,/godz.  brutto od 3 500 zł,https://www.olx.pl/oferta/kelner-kelnerka-do-restauracji-hotelu-i-do-cateringu-wawa-CID4-IDCFerL.html#c5ae80243a
Praca Kelnera Restauracja Tandoor,"Warszawa, Śródmieście",,Umowa o pracę, do 5 000 zł/mies.  brutto,https://www.olx.pl/oferta/praca-kelnera-restauracja-tandoor-CID4-IDC3pKA.html#c5ae80243a
sieć restauracji 7 Street zatrudni na stanowisku Kucharz,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,16 zł/mies. brutto od,https://www.olx.pl/oferta/siec-restauracji-7-street-zatrudni-na-stanowisku-kucharz-CID4-IDAqWJI.html#c5ae80243a
Pomoc kuchni że znajomością gotowania,"Warszawa, Śródmieście",,Umowa o pracę, 5 000 zł do 7 000 zł/mies.,https://www.olx.pl/oferta/pomoc-kuchni-ze-znajomoscia-gotowania-CID4-IDCFd5f.html#c5ae80243a
Praca dla kucharza,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,  brutto od 3 500 zł do,https://www.olx.pl/oferta/praca-dla-kucharza-CID4-IDCFc1m.html#c5ae80243a
Szef Kuchni Bierhalle Warszawa,"Warszawa, Wola",,Umowa o pracę, 4 500 zł/mies.  brutto od,https://www.olx.pl/oferta/szef-kuchni-bierhalle-warszawa-CID4-IDB1uwN.html#c5ae80243a
Kierownik Zmiany - Bierhalle Warszawa,"Warszawa, Włochy",Niepełny etat,Umowa o pracę, 2 000 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/kierownik-zmiany-bierhalle-warszawa-CID4-IDAPr4v.html#c5ae80243a
Praca w kawiarni z bistro na Bemowie. Kuchnia polska.,"Warszawa, Mokotów",,Umowa o pracę,  brutto4 500 zł/mies. brutto,https://www.olx.pl/oferta/praca-w-kawiarni-z-bistro-na-bemowie-kuchnia-polska-CID4-IDC7KWR.html#c5ae80243a
Praca dla Zastępcy Szefa Kuchni,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę,3 350 zł/mies. brutto30 zł,https://www.olx.pl/oferta/praca-dla-zastepcy-szefa-kuchni-CID4-IDBQfDX.html#c5ae80243a
Barmanka/kelnerka w lokalu gastronomicznym,"Warszawa, Śródmieście",,Umowa o pracę,/godz. brutto od 3 000 zł,https://www.olx.pl/oferta/barmanka-kelnerka-w-lokalu-gastronomicznym-CID4-IDziMzb.html#c5ae80243a
"Konfekcjoner (3350 brutto, możliwa część etatu)","Warszawa, Bemowo",Pełny etat,Umowa o pracę, do 4 000 zł/mies.  brutto,https://www.olx.pl/oferta/konfekcjoner-3350-brutto-mozliwa-czesc-etatu-CID4-IDwUs8w.html#c5ae80243a
Samodzielna/y kucharka/kucharz (praca 7godz. dziennie),"Warszawa, Mokotów",,Umowa o pracę, od 4 000 zł do 5 000 zł,https://www.olx.pl/oferta/samodzielna-y-kucharka-kucharz-praca-7godz-dziennie-CID4-IDAJFUs.html#c5ae80243a
.Pomoc kuchni Express Oriental Młociny :) 2500 netto,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę,/mies.  brutto od 3 000 zł,https://www.olx.pl/oferta/pomoc-kuchni-express-oriental-mlociny-2500-netto-CID4-IDBIWQ6.html#c5ae80243a
.Pomocnik kucharza Oriental Galeria Młociny 3000netto,"Warszawa, Bielany",,Umowa o pracę, do 4 000 zł/mies.  brutto,https://www.olx.pl/oferta/pomocnik-kucharza-oriental-galeria-mlociny-3000netto-CID4-IDC4IHl.html#c5ae80243a
.Obsługa klienta przy kasie Express Oriental Galeria Młociny,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę, od 18 zł do 22 zł,https://www.olx.pl/oferta/obsluga-klienta-przy-kasie-express-oriental-galeria-mlociny-CID4-IDBIVr8.html#c5ae80243a
Praca dla kucharza w FEST Port Czerniakowski,"Warszawa, Bielany",,Umowa o pracę,/godz.  brutto od 4 000 zł,https://www.olx.pl/oferta/praca-dla-kucharza-w-fest-port-czerniakowski-CID4-IDCEwJp.html#c5ae80243a
Szef Kuchni / Zastępca Szefa Kuchni- Nowa Restauracja,"Warszawa, Bielany",Niepełny etat,Umowa o pracę, do 6 000 zł/mies.  brutto,https://www.olx.pl/oferta/szef-kuchni-zastepca-szefa-kuchni-nowa-restauracja-CID4-IDCyaKz.html#c5ae80243a
Dozorca/Magazynier,"Warszawa, Bielany",,Umowa o pracę,3 000 zł/mies. brutto od,https://www.olx.pl/oferta/dozorca-magazynier-CID4-IDCEpyO.html#c5ae80243a
Kierowca do cateringu,"Warszawa, Śródmieście",Pełny etat,Umowa o pracę, 3 800 zł do 5 000 zł/mies.,https://www.olx.pl/oferta/kierowca-do-cateringu-CID4-IDBEx1c.html#c5ae80243a
Kucharz wydający do restauracji SAM Żoliborz,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/kucharz-wydajacy-do-restauracji-sam-zoliborz-CID4-IDABuPp.html#c5ae80243a
Barman Orzo Pl. Konstytucji,"Warszawa, Bielany",Pełny etat,Umowa o pracę,None,https://www.olx.pl/oferta/barman-orzo-pl-konstytucji-CID4-IDzOkIS.html#c5ae80243a
osoba do pomocy w kuchni w szkole,"Warszawa, Śródmieście",,Umowa o pracę,None,https://www.olx.pl/oferta/osoba-do-pomocy-w-kuchni-w-szkole-CID4-IDCdfjX.html#c5ae80243a
Dworzec Wileński - Kierownik Zmiany McDonald's,"Warszawa, Wola",,Umowa o pracę, od 4 000 zł do 4 200 zł,https://www.olx.pl/oferta/dworzec-wilenski-kierownik-zmiany-mcdonalds-CID4-IDBLNLk.html#9c904b60f5;promoted
SZEF KUCHNI/Szef Produkcji - Catering dla Przedzkoli,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,/mies.  brutto od 4 120 zł,https://www.olx.pl/oferta/szef-kuchni-szef-produkcji-catering-dla-przedzkoli-CID4-IDCGb7e.html#9c904b60f5;promoted
Restauracja Mcdonald's Modlińska szuka MANAGERA restauracji. Dołącz!,"Warszawa, Śródmieście",,Umowa o pracę, do 4 300 zł/mies.  brutto,https://www.olx.pl/oferta/restauracja-mcdonalds-modlinska-szuka-managera-restauracji-dolacz-CID4-IDr5n2P.html#9c904b60f5;promoted
pomoc na kuchnie do małego baru!,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę, od 2 500 zł do 3 000 zł,https://www.olx.pl/oferta/pomoc-na-kuchnie-do-malego-baru-CID4-IDCEeke.html#9c904b60f5
Barista,"Warszawa, Białołęka",,Umowa o pracę,/mies.  brutto od 3 500 zł,https://www.olx.pl/oferta/barista-CID4-IDBxEy8.html#9c904b60f5
kuchnia cateringowa - pełny etat - praca dzienna - Boernerowo,"Warszawa, Praga-Południe",Pełny etat,Umowa o pracę, do 4 000 zł/mies.  brutto,https://www.olx.pl/oferta/kuchnia-cateringowa-pelny-etat-praca-dzienna-boernerowo-CID4-IDzZD3j.html#9c904b60f5
Pracownik do wydawania posiłków w Bistro,"Warszawa, Śródmieście",,Umowa o pracę, od 4 120 zł do 4 300 zł,https://www.olx.pl/oferta/pracownik-do-wydawania-posilkow-w-bistro-CID4-IDCE96A.html#9c904b60f5
Restauracja Mcdonald's Modlińska szuka MANAGERA restauracji. Dołącz!,"Warszawa, Bemowo",Pełny etat,Umowa o pracę,/mies.  brutto od 17 zł,https://www.olx.pl/oferta/restauracja-mcdonalds-modlinska-szuka-managera-restauracji-dolacz-CID4-IDr5n2P.html#9c904b60f5;promoted
Dam pracę od zaraz jako pomoc kuchenna w bufecie pracowniczym,"Warszawa, Praga-Północ",,Umowa o pracę, do 20 zł/godz.  brutto,https://www.olx.pl/oferta/dam-prace-od-zaraz-jako-pomoc-kuchenna-w-bufecie-pracowniczym-CID4-IDCDXzZ.html#9c904b60f5
Zatrudnię cukiernika,"Warszawa, Białołęka",Pełny etat,Umowa o pracę,20 zł/godz. brutto od,https://www.olx.pl/oferta/zatrudnie-cukiernika-CID4-IDCDWIv.html#9c904b60f5
Pracownik bubbletea sklep（ul.marszalkowska）,"Warszawa, Praga-Północ",,Umowa o pracę, 2 500 zł do 4 000 zł/mies.,https://www.olx.pl/oferta/pracownik-bubbletea-sklepul-marszalkowska-CID4-IDCDRT5.html#9c904b60f5
Kelnerka do restauracji sushi,"Warszawa, Wawer",Pełny etat,Umowa o pracę,  brutto od 3 000 zł do,https://www.olx.pl/oferta/kelnerka-do-restauracji-sushi-CID4-IDB2DXE.html#9c904b60f5
kelner śniadaniowy do 5* hotelu w centrum,"Warszawa, Śródmieście",,Umowa o pracę, 3 700 zł/mies.  brutto15 zł,https://www.olx.pl/oferta/kelner-sniadaniowy-do-5-hotelu-w-centrum-CID4-IDCDvef.html#9c904b60f5
PIZZER zatrudni restayracja na żoliborzu/ursynowie,"Warszawa, Mokotów",Pełny etat,Umowa o pracę,/godz. brutto od 3 000 zł,https://www.olx.pl/oferta/pizzer-zatrudni-restayracja-na-zoliborzu-ursynowie-CID4-IDCy86I.html#9c904b60f5
Zatrudnię samodzielnego kucharza-kucharkę,"Warszawa, Śródmieście",,Umowa o pracę, do 4 800 zł/mies.  brutto,https://www.olx.pl/oferta/zatrudnie-samodzielnego-kucharza-kucharke-CID4-IDBnFva.html#9c904b60f5
Praca na zmywaku,"Warszawa, Żoliborz",Pełny etat,Umowa o pracę,18 zł/godz. brutto16 zł,https://www.olx.pl/oferta/praca-na-zmywaku-CID4-IDC5fLT.html#9c904b60f5
Kelnerka/Ekspedientka do kawiarnio - cukierni,"Warszawa, Wesoła",,Umowa o pracę,/godz. brutto od 22 zł,https://www.olx.pl/oferta/kelnerka-ekspedientka-do-kawiarnio-cukierni-CID4-IDtNqIH.html#9c904b60f5
Zatrudnię kucharza/kucharkę,"Warszawa, Wola",Pełny etat,Umowa o pracę, do 24 zł/godz.  brutto,https://www.olx.pl/oferta/zatrudnie-kucharza-kucharke-CID4-IDCD0O2.html#9c904b60f5
Kelnerka Sushi House Radość,"Warszawa, Śródmieście",,Umowa o pracę, od 3 000 zł do 5 000 zł,https://www.olx.pl/oferta/kelnerka-sushi-house-radosc-CID4-IDC34Tn.html#9c904b60f5
Szef Zmiany Restauracji Śniadaniowej w hotelu 4*,"Warszawa, Praga-Północ",Pełny etat,Umowa o pracę,/mies.  brutto od 2 700 zł,https://www.olx.pl/oferta/szef-zmiany-restauracji-sniadaniowej-w-hotelu-4-CID4-IDCah33.html#9c904b60f5
